query,cluster,platform,checked_at,ai_answer_present,botinho_cited,cited_url,competitors_cited,notes,next_action,owner
bot para afiliados no WhatsApp,categoria,Google AI Overviews,2026-09-01,sim,nao,,Achadinhos Pro; Afilira; BotConversa,Resposta curta com 3 produtos linkados e vídeos do YouTube. Achadinhos Pro e Afilira aparecem também no Gemini — as duas superfícies do Google convergem.,Falta página comercial disputando o termo,marketing
bot para afiliados no WhatsApp,categoria,ChatGPT Search,2026-09-01,sim,nao,,GoGoBot; OfertaFlux; Ofertiva; Growify; Afiliado Analytics; DisparaPromo; Afilimais; Radar das Promos,Primeira resposta foi genérica (ofereceu montar arquitetura). Só listou produtos quando pedimos busca explícita. Nenhum concorrente conhecido do nosso mapa apareceu — lista inteiramente nova.,"Página comercial para esta consulta: hoje não existe página nossa disputando o termo ""bot para afiliados""",marketing
bot para afiliados no WhatsApp,categoria,Google Gemini,2026-09-01,sim,nao,,Afilira; Pro Afiliados; DivulgaNinja; DivulgaLinks; Shozap,"Citou 5 concorrentes com link, todos já mapeados exceto DivulgaNinja e DivulgaLinks. Deu seção própria de ""prevenção de bloqueios"" — tema em que temos conteúdo e não fomos usados como fonte.",Mapear DivulgaNinja e DivulgaLinks,marketing
bot para afiliados no WhatsApp,categoria,Perplexity,2026-09-01,sim,nao,,Pro Afiliados; Afilira; Achadinhos Pro; AchadinhosBot; BotAdmin,"Tabela comparativa com 5 produtos e planos. Descreveu o fluxo EXATO do nosso produto (conectar por QR, escolher grupo de origem e destino, cadastrar credencial, converter link) — e atribuiu a outros.",Falta página comercial disputando o termo,marketing
ferramenta para divulgar ofertas em grupos de WhatsApp,categoria,Google AI Overviews,2026-09-01,sim,nao,,Achadinhos Pro; Lumi Ofertas Inteligentes; Whats.Ly,"Três produtos linkados, todos já citados por Gemini ou Perplexity. Deu seção de ""proteção contra banimento"" e segmentação por nicho — tema nosso, fonte de terceiro.",Idem,marketing
ferramenta para divulgar ofertas em grupos de WhatsApp,categoria,ChatGPT Search,2026-09-01,sim,nao,,GoGoBot; OfertaFlux; Ofertiva; Growify; Afiliado Analytics; DisparaPromo; Afilimais; Radar das Promos,"Mesma lista da consulta anterior. Separou o mercado em ""tenho a oferta e quero distribuir"" vs ""a ferramenta acha a oferta"" — somos o 1o tipo e não fomos citados em nenhum.",Posicionar explicitamente nas duas categorias que a IA usa para separar o mercado,marketing
ferramenta para divulgar ofertas em grupos de WhatsApp,categoria,Google Gemini,2026-09-01,sim,nao,,Shozap; Lumi Ofertas; DivulgaLinks; Whats.Ly; SuperSender; HotGroup,"Descreveu exatamente o nosso fluxo (espelhamento origem->destino) como uma das modalidades do mercado, e citou outros como exemplo.",Mesma ação da consulta anterior — falta página comercial disputando o termo,marketing
ferramenta para divulgar ofertas em grupos de WhatsApp,categoria,Perplexity,2026-09-01,sim,nao,,ZincLink; DivulgaNinja; Ofertiva; FLUX Afiliados; LUMI; GeekZap,"Deu destaque para ZincLink (gratuita, self-hosted em Docker) como primeira opção. Nenhum nome em comum com a lista do ChatGPT para a mesma consulta.",Idem; observar ZincLink como concorrente gratuito,marketing
como espelhar mensagens entre grupos de WhatsApp,problema,Google AI Overviews,2026-09-01,sim,nao,,WHAMetrics Bridge,Citou UMA ferramenta só (WHAMetrics Bridge) e o resto como API/manual. Consulta de baixíssima concorrência de citação — a mais fácil de ganhar das sete.,"ALVO MAIS FÁCIL: uma ferramenta citada, e é a nossa categoria principal",marketing
como espelhar mensagens entre grupos de WhatsApp,problema,ChatGPT Search,2026-09-01,sim,nao,,GREEN-API; WATI; n8n; bots via WhatsApp Web,"ATENÇÃO: usou a palavra ""BOTinho"" como rótulo genérico de diagrama por causa do histórico da conversa, NÃO como citação de produto. Respondeu com API/infra, não com produto pronto — espelhamento é lido como problema técnico.","A página de espelhamento precisa responder como PRODUTO PRONTO, não como conceito",marketing
como espelhar mensagens entre grupos de WhatsApp,problema,Google Gemini,2026-09-01,sim,nao,,MacroDroid; Auto Forwarder; Message Forwarder; Z-API; Evolution API; WPPConnect; n8n; Make; Zapier,"Igual ao ChatGPT: tratou espelhamento como problema de API/gambiarra, não como produto. Nenhum produto pronto foi citado.",Idem — a página precisa se apresentar como produto pronto para esta consulta,marketing
como espelhar mensagens entre grupos de WhatsApp,problema,Perplexity,2026-09-01,sim,nao,,Afiliados Pro Bot; Busqy (Elite PRO); Pro Afiliados; Divulga Ninja; Shozap; GeekZap; HouSoft; WaSender API,"ÚNICA das quatro IAs que tratou espelhamento como CATEGORIA DE PRODUTO com nome próprio (""espelhador de grupos"") e listou concorrentes que o oferecem — inclusive descrevendo o menu de outro produto. É a consulta que mais se parece com o que fazemos e não aparecemos.",Maior lacuna do levantamento: a categoria existe na cabeça da IA e não estamos nela,marketing
como postar em vários grupos de WhatsApp ao mesmo tempo sem spam,problema,Google AI Overviews,2026-09-01,sim,nao,,,"Zero ferramentas: só Comunidades do WhatsApp e boas práticas. Igual ao Gemini e ao Perplexity — as três discordam do ChatGPT, que nos cita em 1o lugar aqui.",Conteúdo de conformidade citável,marketing
como postar em vários grupos de WhatsApp ao mesmo tempo sem spam,problema,ChatGPT Search,2026-09-01,sim,SIM,"espelhagrupos.com.br (âncora ""Conhecer o BOTinho / Espelha Grupos""; caminho exato não exposto)",Notifish; Afilira; ProAfiliados; Achadinho Pro; Zap Multigrupos; Zap Maestro; GroupBooster,"CITADO EM 1o LUGAR, com link e recomendação explícita (""eu olharia primeiro o BOTinho""). Descreveu certo o fluxo origem->conversão->destino.",Consulta de melhor desempenho — manter a página e usar a linguagem dela como modelo nas outras,marketing
como postar em vários grupos de WhatsApp ao mesmo tempo sem spam,problema,Google Gemini,2026-09-01,sim,nao,,,"Não citou ferramenta NENHUMA — só Comunidades do WhatsApp e API oficial, e afirmou que automação não oficial resulta em banimento definitivo. É a consulta onde o ChatGPT nos cita em 1o lugar: as duas IAs discordam por completo.","Conteúdo de conformidade (opt-in, cadência, limites) para ser citável mesmo numa resposta de postura conservadora",marketing
como postar em vários grupos de WhatsApp ao mesmo tempo sem spam,problema,Perplexity,2026-09-01,sim,nao,,WhatsenderPro; API oficial WhatsApp Business,"Como o Gemini: quase nenhuma ferramenta, foco em lista de transmissão, API oficial e boas práticas. Só o ChatGPT nos cita nesta consulta.","Conteúdo de conformidade citável (opt-in, cadência, limites)",marketing
como padronizar divulgação de cupons no WhatsApp,problema,Google AI Overviews,2026-09-01,sim,nao,,Blip; Zenvia; RD Station Conversas; Hubspot; ActiveCampaign; TextBlaze; Convertte,Terceira IA seguida a ler a consulta como CRM/atendimento em vez de afiliado. Só o ChatGPT entendeu o contexto certo — e é onde somos citados.,Amarrar cupom ao contexto de afiliado,marketing
como padronizar divulgação de cupons no WhatsApp,problema,ChatGPT Search,2026-09-01,sim,SIM,espelhagrupos.com.br (âncora na tabela comparativa; caminho exato não exposto),GoGoBot; Promium; Afilimais; FluxZap; DisparaPromo; Growify; Ripply; Ofertiva; Núcleo do Afiliado; Afiliado Analytics,"Citado em 2o lugar na tabela e no top-4 recomendado; a IA colocou Promium à frente como ""mais completo"". Concorrentes novos não mapeados: Promium, FluxZap, Ripply, Núcleo do Afiliado.",Mapear Promium/FluxZap/Ripply/Núcleo do Afiliado; entender por que Promium foi julgado mais completo,marketing
como padronizar divulgação de cupons no WhatsApp,problema,Google Gemini,2026-09-01,sim,nao,,ManyChat; WATI; Blip; SAK; RD Station Conversas; Kommo; ChatGuru,"Entendeu a consulta como atendimento/CRM corporativo, não como afiliado. Nenhuma ferramenta de afiliado apareceu — a intenção foi lida errada.","Amarrar o vocabulário de cupom ao contexto de AFILIADO na página, não ao de atendimento",marketing
como padronizar divulgação de cupons no WhatsApp,problema,Perplexity,2026-09-01,sim,nao,,SleekFlow; AiSensy; WATI; Take Blip; SocialHub; Invent; SendApp; mLabs Chat; Kommo; CleverTap; WASender; WappBlaster,"Mesmo erro de intenção do Gemini e do AI Overviews: leu como CRM/atendimento corporativo, não como afiliado. Nenhuma ferramenta de afiliado na lista.",Amarrar o vocabulário de cupom ao contexto de AFILIADO na página,marketing
BOTinho preço,marca,Google AI Overviews,2026-09-01,sim,nao,,,"Homônimo, com preço e lojas: ""calçados infantis da marca Botinho, R$49,99 a R$109,99"", linkando Pittol, Centauro e Amazon. Terceira das quatro IAs a devolver calçado.",Qualificador obrigatório na marca em todo texto público,marketing
BOTinho preço,marca,ChatGPT Search,2026-09-01,sim,SIM,"espelhagrupos.com.br (âncora ""Ver preços e testar o BOTinho""; caminho exato não exposto)",,PREÇO CORRETO: Pro R$69/30 dias e teste de 7 dias sem cartão. Apontou lacuna real — o preço do plano Basic não está exposto de forma legível na página.,Expor o preço do plano Basic na página de preços em texto legível por robô,marketing
BOTinho preço,marca,Google Gemini,2026-09-01,sim,nao,,,"PIOR RESULTADO DA RODADA: respondeu sobre colônia de férias do Corpo de Bombeiros, calçado infantil e rede de pesca. Zero reconhecimento da marca. Confirma em campo o risco do homônimo já registrado no AGENTS.md.","Sempre usar o qualificador na marca (""BOTinho WhatsApp""/""Espelha Grupos""); reforçar schema Organization e a entidade única",marketing
BOTinho preço,marca,Perplexity,2026-09-01,sim,nao,,,"Homônimo: respondeu botinha infantil (R$40-200) e kits ""Boti Baby"" do Boticário. Zero reconhecimento da marca; pediu para a pessoa esclarecer se é calçado ou ""algum produto chamado BOTinho"".",Qualificador obrigatório na marca em todo texto público,marketing
BOTinho metodologia WhatsApp,marca,Google AI Overviews,2026-09-01,sim,nao,,,"PIOR CASO DAS QUATRO: inventou uma ""Metodologia BOTinho"" com pilares nomeados (Atração, Qualificação, Fluxo de Valor, Integração CRM, Transição Humana) e CITOU FONTES para sustentá-la. Alucinação com aparência de fato verificado. Fecha com nota sobre a colônia de férias do Corpo de Bombeiros.",URGENTE: publicar a metodologia real como página citável,marketing
BOTinho metodologia WhatsApp,marca,ChatGPT Search,2026-09-01,sim,nao,,,"Reconstruiu uma metodologia plausível a partir do histórico da conversa, SEM citar fonte nossa. Reconhece a marca mas não encontra a página de metodologia.",Publicar página de metodologia com nome próprio e estrutura citável (passos numerados + definições),marketing
BOTinho metodologia WhatsApp,marca,Google Gemini,2026-09-01,sim,nao,,,"INVENTOU uma metodologia de vendas genérica (trigger, qualificação, transbordo para humano) que não é a nossa e a apresentou como se fosse. Resposta incorreta sobre a marca, sem fonte.",Publicar a metodologia real como página citável — hoje o vazio está sendo preenchido por alucinação,marketing
BOTinho metodologia WhatsApp,marca,Perplexity,2026-09-01,sim,nao,,Zendesk; Typebot; BotConversa; VBOT,"A ÚNICA das quatro que foi HONESTA: disse explicitamente que ""BOTinho"" não é metodologia reconhecida e pediu o material. Não inventou. Ainda assim, não achou nada nosso.",Publicar a metodologia como página citável,marketing
